group_id,category,split,sample_key,sample_number,normal_class,anomaly_class,metadata_anomaly_class,metadata_label_matches_filename,rows,distinct_views,observed_views,missing_views,duplicate_views,five_rows,expected_camera_set,no_duplicate_cameras,single_category,single_split,single_sample_key,single_meta_prefix,single_normal_class,unique_image_paths,all_images_exist,declared_masks_exist,all_masks_correspond,all_categories_match,all_labels_match_filenames,valid_five_view_group
pcb::pcb_0005_NG_QS,pcb,test,pcb_0005_NG_QS,0005,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0005_NG_YW,pcb,test,pcb_0005_NG_YW,0005,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0005_NG_ZW,pcb,test,pcb_0005_NG_ZW,0005,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0005_OK,pcb,test,pcb_0005_OK,0005,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0006_NG_HS,pcb,test,pcb_0006_NG_HS,0006,OK,NG_HS,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0006_NG_QS,pcb,test,pcb_0006_NG_QS,0006,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0006_NG_YW,pcb,test,pcb_0006_NG_YW,0006,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0006_NG_ZW,pcb,test,pcb_0006_NG_ZW,0006,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0006_OK,pcb,train,pcb_0006_OK,0006,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0007_NG_HS,pcb,test,pcb_0007_NG_HS,0007,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0007_NG_QS,pcb,test,pcb_0007_NG_QS,0007,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0007_NG_YW,pcb,test,pcb_0007_NG_YW,0007,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0007_NG_ZW,pcb,test,pcb_0007_NG_ZW,0007,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0007_OK,pcb,train,pcb_0007_OK,0007,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0008_NG_HS,pcb,test,pcb_0008_NG_HS,0008,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0008_NG_QS,pcb,test,pcb_0008_NG_QS,0008,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0008_NG_YW,pcb,test,pcb_0008_NG_YW,0008,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0008_NG_ZW,pcb,test,pcb_0008_NG_ZW,0008,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0008_OK,pcb,test,pcb_0008_OK,0008,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0009_NG_HS,pcb,test,pcb_0009_NG_HS,0009,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0009_NG_QS,pcb,test,pcb_0009_NG_QS,0009,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0009_NG_YW,pcb,test,pcb_0009_NG_YW,0009,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0009_NG_ZW,pcb,test,pcb_0009_NG_ZW,0009,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0009_OK,pcb,train,pcb_0009_OK,0009,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0010_NG_HS,pcb,test,pcb_0010_NG_HS,0010,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0010_NG_QS,pcb,test,pcb_0010_NG_QS,0010,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0010_NG_YW,pcb,test,pcb_0010_NG_YW,0010,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0010_NG_ZW,pcb,test,pcb_0010_NG_ZW,0010,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0010_OK,pcb,train,pcb_0010_OK,0010,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0011_NG_HS,pcb,test,pcb_0011_NG_HS,0011,OK,NG_HS,HS,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0011_NG_QS,pcb,test,pcb_0011_NG_QS,0011,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0011_NG_YW,pcb,test,pcb_0011_NG_YW,0011,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0011_NG_ZW,pcb,test,pcb_0011_NG_ZW,0011,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0011_OK,pcb,train,pcb_0011_OK,0011,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0012_NG_HS,pcb,test,pcb_0012_NG_HS,0012,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0012_NG_QS,pcb,test,pcb_0012_NG_QS,0012,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0012_NG_YW,pcb,test,pcb_0012_NG_YW,0012,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0012_NG_ZW,pcb,test,pcb_0012_NG_ZW,0012,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0012_OK,pcb,train,pcb_0012_OK,0012,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0013_NG_HS,pcb,test,pcb_0013_NG_HS,0013,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0013_NG_QS,pcb,test,pcb_0013_NG_QS,0013,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0013_NG_YW,pcb,test,pcb_0013_NG_YW,0013,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0013_NG_ZW,pcb,test,pcb_0013_NG_ZW,0013,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0013_OK,pcb,test,pcb_0013_OK,0013,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0014_NG_HS,pcb,test,pcb_0014_NG_HS,0014,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0014_NG_QS,pcb,test,pcb_0014_NG_QS,0014,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0014_NG_YW,pcb,test,pcb_0014_NG_YW,0014,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0014_NG_ZW,pcb,test,pcb_0014_NG_ZW,0014,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0014_OK,pcb,test,pcb_0014_OK,0014,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0015_NG_HS,pcb,test,pcb_0015_NG_HS,0015,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0015_NG_QS,pcb,test,pcb_0015_NG_QS,0015,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0015_NG_YW,pcb,test,pcb_0015_NG_YW,0015,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0015_NG_ZW,pcb,test,pcb_0015_NG_ZW,0015,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0015_OK,pcb,train,pcb_0015_OK,0015,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0016_NG_HS,pcb,test,pcb_0016_NG_HS,0016,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0016_NG_QS,pcb,test,pcb_0016_NG_QS,0016,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0016_NG_YW,pcb,test,pcb_0016_NG_YW,0016,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0016_NG_ZW,pcb,test,pcb_0016_NG_ZW,0016,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0016_OK,pcb,train,pcb_0016_OK,0016,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0017_NG_HS,pcb,test,pcb_0017_NG_HS,0017,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0017_NG_QS,pcb,test,pcb_0017_NG_QS,0017,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0017_NG_YW,pcb,test,pcb_0017_NG_YW,0017,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0017_NG_ZW,pcb,test,pcb_0017_NG_ZW,0017,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0017_OK,pcb,train,pcb_0017_OK,0017,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0018_NG_HS,pcb,test,pcb_0018_NG_HS,0018,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0018_NG_QS,pcb,test,pcb_0018_NG_QS,0018,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0018_NG_YW,pcb,test,pcb_0018_NG_YW,0018,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0018_NG_ZW,pcb,test,pcb_0018_NG_ZW,0018,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0018_OK,pcb,test,pcb_0018_OK,0018,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0019_NG_HS,pcb,test,pcb_0019_NG_HS,0019,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0019_NG_QS,pcb,test,pcb_0019_NG_QS,0019,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0019_NG_YW,pcb,test,pcb_0019_NG_YW,0019,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0019_NG_ZW,pcb,test,pcb_0019_NG_ZW,0019,OK,NG_ZW,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0019_OK,pcb,train,pcb_0019_OK,0019,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0020_NG_HS,pcb,test,pcb_0020_NG_HS,0020,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0020_NG_QS,pcb,test,pcb_0020_NG_QS,0020,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0020_NG_YW,pcb,test,pcb_0020_NG_YW,0020,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0020_NG_ZW,pcb,test,pcb_0020_NG_ZW,0020,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0020_OK,pcb,test,pcb_0020_OK,0020,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0021_NG_HS,pcb,test,pcb_0021_NG_HS,0021,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0021_NG_QS,pcb,test,pcb_0021_NG_QS,0021,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0021_NG_YW,pcb,test,pcb_0021_NG_YW,0021,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0021_NG_ZW,pcb,test,pcb_0021_NG_ZW,0021,OK,NG_ZW,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0021_OK,pcb,test,pcb_0021_OK,0021,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0022_NG_HS,pcb,test,pcb_0022_NG_HS,0022,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0022_NG_QS,pcb,test,pcb_0022_NG_QS,0022,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0022_NG_YW,pcb,test,pcb_0022_NG_YW,0022,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0022_NG_ZW,pcb,test,pcb_0022_NG_ZW,0022,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0022_OK,pcb,test,pcb_0022_OK,0022,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0023_NG_HS,pcb,test,pcb_0023_NG_HS,0023,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0023_NG_QS,pcb,test,pcb_0023_NG_QS,0023,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0023_NG_YW,pcb,test,pcb_0023_NG_YW,0023,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0023_NG_ZW,pcb,test,pcb_0023_NG_ZW,0023,OK,NG_ZW,ZW,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0023_OK,pcb,test,pcb_0023_OK,0023,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0024_NG_HS,pcb,test,pcb_0024_NG_HS,0024,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0024_NG_QS,pcb,test,pcb_0024_NG_QS,0024,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0024_NG_YW,pcb,test,pcb_0024_NG_YW,0024,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0024_NG_ZW,pcb,test,pcb_0024_NG_ZW,0024,OK,NG_ZW,ZW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0024_OK,pcb,test,pcb_0024_OK,0024,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0025_NG_HS,pcb,test,pcb_0025_NG_HS,0025,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0025_NG_QS,pcb,test,pcb_0025_NG_QS,0025,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0025_NG_YW,pcb,test,pcb_0025_NG_YW,0025,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0025_NG_ZW,pcb,test,pcb_0025_NG_ZW,0025,OK,NG_ZW,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0025_OK,pcb,test,pcb_0025_OK,0025,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0026_NG_HS,pcb,test,pcb_0026_NG_HS,0026,OK,NG_HS,HS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0026_NG_QS,pcb,test,pcb_0026_NG_QS,0026,OK,NG_QS,QS,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0026_NG_YW,pcb,test,pcb_0026_NG_YW,0026,OK,NG_YW,YW,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0026_NG_ZW,pcb,test,pcb_0026_NG_ZW,0026,OK,NG_ZW,OK,False,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
pcb::pcb_0026_OK,pcb,test,pcb_0026_OK,0026,OK,OK,OK,True,5,5,"C1,C2,C3,C4,C5",,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
